video,count
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-24/crescent_cen1_mouldMaking_20200624152501_20200624153001.mp4,7457
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-05-19/crescent_cen1_mouldMaking_20200519140000_20200519142000.mp4,30002
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-11/crescent_cen1_mouldMaking_20200611161500_20200611162000.mp4,7517
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-24/crescent_cen1_mouldMaking_20200624144001_20200624144501.mp4,7393
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-05-21/crescent_cen1_mouldMaking_20200521080000_20200521082000.mp4,30009
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-11/crescent_cen1_mouldMaking_20200611083500_20200611084000.mp4,7525
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-08/crescent_cen1_mouldMaking_20200608101000_20200608101500.mp4,7507
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607181000_20200607181500.mp4,7489
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-24/crescent_cen1_mouldMaking_20200624175501_20200624180001.mp4,7525
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607233500_20200607234000.mp4,7511
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-11/crescent_cen1_mouldMaking_20200611100000_20200611100500.mp4,7485
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-08/crescent_cen1_mouldMaking_20200608055500_20200608060000.mp4,7507
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-08/crescent_cen1_mouldMaking_20200608173000_20200608173500.mp4,7457
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607203000_20200607203500.mp4,7485
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-11/crescent_cen1_mouldMaking_20200611102500_20200611103000.mp4,7514
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-24/crescent_cen1_mouldMaking_20200624150501_20200624151001.mp4,7462
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607170500_20200607171000.mp4,7502
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-08/crescent_cen1_mouldMaking_20200608080000_20200608080500.mp4,7481
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-08/crescent_cen1_mouldMaking_20200608053000_20200608053500.mp4,7498
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-13/crescent_cen1_mouldMaking_20200613101001_20200613101501.mp4,7521
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607185500_20200607190000.mp4,7560
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-11/crescent_cen1_mouldMaking_20200611112500_20200611113000.mp4,7500
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-13/crescent_cen1_mouldMaking_20200613092001_20200613092501.mp4,7535
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607172000_20200607172500.mp4,7511
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-08/crescent_cen1_mouldMaking_20200608110000_20200608110500.mp4,7530
