video,count
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-24/crescent_cen1_mouldMaking_20200624154001_20200624154501.mp4,7527
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-14/crescent_cen1_mouldMaking_20200614005501_20200614010001.mp4,7517
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-24/crescent_cen1_mouldMaking_20200624112001_20200624112501.mp4,7395
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-24/crescent_cen1_mouldMaking_20200624103001_20200624103501.mp4,7495
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-24/crescent_cen1_mouldMaking_20200624153501_20200624154001.mp4,7468
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-24/crescent_cen1_mouldMaking_20200624095501_20200624100001.mp4,7441
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-08/crescent_cen1_mouldMaking_20200608035500_20200608040000.mp4,7491
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-23/crescent_cen1_mouldMaking_20200623122501_20200623123001.mp4,7508
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-08/crescent_cen1_mouldMaking_20200608041000_20200608041500.mp4,7487
/media/neo/krypton/data/data_crescent/camera_videos/original_videos/2020-06-07/crescent_cen1_mouldMaking_20200607175500_20200607180000.mp4,7498
